family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
A,A_00001,linear_default,18.333333,2.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,replan_on_failure,15.0,1.166667,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,probe_all_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,relevant_unshared_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,gcs_eager,8.32,0.0,21.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,gcs_lazy,8.32,0.0,23.1,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,no_sharing_gcs,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00001,oracle_assignment,8.0,0.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126027
A,A_00002,linear_default,31.333333,4.333333,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,replan_on_failure,21.0,2.166667,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,probe_all_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,relevant_unshared_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,gcs_eager,8.32,0.0,21.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,gcs_lazy,8.32,0.0,23.1,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,no_sharing_gcs,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00002,oracle_assignment,8.0,0.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,4,126028
A,A_00003,linear_default,42.333333,6.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126029
A,A_00003,replan_on_failure,19.333333,1.833333,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126029
A,A_00003,probe_all_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126029
A,A_00003,relevant_unshared_tree,8.24,0.0,79.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126029
A,A_00003,gcs_eager,8.24,0.0,20.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126029
