probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.02,0.5,0.0,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,80.40625,-16.08825
0.02,0.5,0.0,gcs_eager,10,64.318,0.0,272.9,64.318,80.40625,-16.08825
0.02,0.5,0.0,gcs_lazy,10,64.318,0.0,300.19,64.318,80.40625,-16.08825
0.02,0.5,0.0,oracle_assignment,10,64.0,0.0,64.0,64.318,80.40625,-16.40625
0.02,0.5,0.0,probe_all_local,10,64.318,0.0,272.9,64.318,80.40625,-16.08825
0.02,0.5,0.0,replan_on_failure,10,80.40625,6.5625,64.0,64.318,80.40625,0.0
0.02,0.5,0.25,behavior_tree_fallback,10,64.312,0.0,207.6,64.312,81.58125,-17.26925
0.02,0.5,0.25,gcs_eager,10,64.312,0.0,272.6,64.312,81.58125,-17.26925
0.02,0.5,0.25,gcs_lazy,10,64.312,0.0,299.86,64.312,81.58125,-17.26925
0.02,0.5,0.25,oracle_assignment,10,64.0,0.0,64.0,64.312,81.58125,-17.58125
0.02,0.5,0.25,probe_all_local,10,64.312,0.0,272.6,64.312,81.58125,-17.26925
0.02,0.5,0.25,replan_on_failure,10,81.58125,6.875,64.0,64.312,81.58125,0.0
0.02,0.5,0.5,behavior_tree_fallback,10,64.316,0.0,207.8,64.316,81.78125,-17.46525
0.02,0.5,0.5,gcs_eager,10,64.316,0.0,272.8,64.316,81.78125,-17.46525
0.02,0.5,0.5,gcs_lazy,10,64.316,0.0,300.08,64.316,81.78125,-17.46525
0.02,0.5,0.5,oracle_assignment,10,64.0,0.0,64.0,64.316,81.78125,-17.78125
0.02,0.5,0.5,probe_all_local,10,64.316,0.0,272.8,64.316,81.78125,-17.46525
0.02,0.5,0.5,replan_on_failure,10,81.78125,6.7375,64.0,64.316,81.78125,0.0
0.02,0.5,0.75,behavior_tree_fallback,10,64.316,0.0,207.8,64.316,83.48125,-19.16525
0.02,0.5,0.75,gcs_eager,10,64.316,0.0,272.8,64.316,83.48125,-19.16525
0.02,0.5,0.75,gcs_lazy,10,64.316,0.0,300.08,64.316,83.48125,-19.16525
0.02,0.5,0.75,oracle_assignment,10,64.0,0.0,64.0,64.316,83.48125,-19.48125
0.02,0.5,0.75,probe_all_local,10,64.316,0.0,272.8,64.316,83.48125,-19.16525
0.02,0.5,0.75,replan_on_failure,10,83.48125,7.225,64.0,64.316,83.48125,0.0
0.02,1.0,0.0,behavior_tree_fallback,10,64.32,0.0,208.0,64.32,85.0,-20.68
0.02,1.0,0.0,gcs_eager,10,64.32,0.0,273.0,64.32,85.0,-20.68
0.02,1.0,0.0,gcs_lazy,10,64.32,0.0,300.3,64.32,85.0,-20.68
0.02,1.0,0.0,oracle_assignment,10,64.0,0.0,64.0,64.32,85.0,-21.0
0.02,1.0,0.0,probe_all_local,10,64.32,0.0,273.0,64.32,85.0,-20.68
0.02,1.0,0.0,replan_on_failure,10,85.0,7.0,64.0,64.32,85.0,0.0
0.02,1.0,0.25,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,85.03125,-20.71325
0.02,1.0,0.25,gcs_eager,10,64.318,0.0,272.9,64.318,85.03125,-20.71325
0.02,1.0,0.25,gcs_lazy,10,64.318,0.0,300.19,64.318,85.03125,-20.71325
0.02,1.0,0.25,oracle_assignment,10,64.0,0.0,64.0,64.318,85.03125,-21.03125
0.02,1.0,0.25,probe_all_local,10,64.318,0.0,272.9,64.318,85.03125,-20.71325
0.02,1.0,0.25,replan_on_failure,10,85.03125,6.6875,64.0,64.318,85.03125,0.0
0.02,1.0,0.5,behavior_tree_fallback,10,64.32,0.0,208.0,64.32,87.2625,-22.9425
0.02,1.0,0.5,gcs_eager,10,64.32,0.0,273.0,64.32,87.2625,-22.9425
0.02,1.0,0.5,gcs_lazy,10,64.32,0.0,300.3,64.32,87.2625,-22.9425
0.02,1.0,0.5,oracle_assignment,10,64.0,0.0,64.0,64.32,87.2625,-23.2625
0.02,1.0,0.5,probe_all_local,10,64.32,0.0,273.0,64.32,87.2625,-22.9425
0.02,1.0,0.5,replan_on_failure,10,87.2625,7.175,64.0,64.32,87.2625,0.0
0.02,1.0,0.75,behavior_tree_fallback,10,64.316,0.0,207.8,64.316,86.71875,-22.40275
0.02,1.0,0.75,gcs_eager,10,64.316,0.0,272.8,64.316,86.71875,-22.40275
0.02,1.0,0.75,gcs_lazy,10,64.316,0.0,300.08,64.316,86.71875,-22.40275
0.02,1.0,0.75,oracle_assignment,10,64.0,0.0,64.0,64.316,86.71875,-22.71875
0.02,1.0,0.75,probe_all_local,10,64.316,0.0,272.8,64.316,86.71875,-22.40275
0.02,1.0,0.75,replan_on_failure,10,86.71875,6.8125,64.0,64.316,86.71875,0.0
0.02,2.0,0.0,behavior_tree_fallback,10,64.316,0.0,207.8,64.316,93.15,-28.834
0.02,2.0,0.0,gcs_eager,10,64.316,0.0,272.8,64.316,93.15,-28.834
0.02,2.0,0.0,gcs_lazy,10,64.316,0.0,300.08,64.316,93.15,-28.834
0.02,2.0,0.0,oracle_assignment,10,64.0,0.0,64.0,64.316,93.15,-29.15
0.02,2.0,0.0,probe_all_local,10,64.316,0.0,272.8,64.316,93.15,-28.834
0.02,2.0,0.0,replan_on_failure,10,93.15,7.2875,64.0,64.316,93.15,0.0
0.02,2.0,0.25,behavior_tree_fallback,10,64.32,0.0,208.0,64.32,92.775,-28.455
0.02,2.0,0.25,gcs_eager,10,64.32,0.0,273.0,64.32,92.775,-28.455
0.02,2.0,0.25,gcs_lazy,10,64.32,0.0,300.3,64.32,92.775,-28.455
0.02,2.0,0.25,oracle_assignment,10,64.0,0.0,64.0,64.32,92.775,-28.775
0.02,2.0,0.25,probe_all_local,10,64.32,0.0,273.0,64.32,92.775,-28.455
0.02,2.0,0.25,replan_on_failure,10,92.775,6.7875,64.0,64.32,92.775,0.0
0.02,2.0,0.5,behavior_tree_fallback,10,64.314,0.0,207.7,64.314,96.8125,-32.4985
0.02,2.0,0.5,gcs_eager,10,64.314,0.0,272.7,64.314,96.8125,-32.4985
0.02,2.0,0.5,gcs_lazy,10,64.314,0.0,299.97,64.314,96.8125,-32.4985
0.02,2.0,0.5,oracle_assignment,10,64.0,0.0,64.0,64.314,96.8125,-32.8125
0.02,2.0,0.5,probe_all_local,10,64.314,0.0,272.7,64.314,96.8125,-32.4985
0.02,2.0,0.5,replan_on_failure,10,96.8125,7.15,64.0,64.314,96.8125,0.0
0.02,2.0,0.75,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,97.5875,-33.2695
0.02,2.0,0.75,gcs_eager,10,64.318,0.0,272.9,64.318,97.5875,-33.2695
0.02,2.0,0.75,gcs_lazy,10,64.318,0.0,300.19,64.318,97.5875,-33.2695
0.02,2.0,0.75,oracle_assignment,10,64.0,0.0,64.0,64.318,97.5875,-33.5875
0.02,2.0,0.75,probe_all_local,10,64.318,0.0,272.9,64.318,97.5875,-33.2695
0.02,2.0,0.75,replan_on_failure,10,97.5875,6.9875,64.0,64.318,97.5875,0.0
0.02,4.0,0.0,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,107.35,-43.032
0.02,4.0,0.0,gcs_eager,10,64.318,0.0,272.9,64.318,107.35,-43.032
0.02,4.0,0.0,gcs_lazy,10,64.318,0.0,300.19,64.318,107.35,-43.032
0.02,4.0,0.0,oracle_assignment,10,64.0,0.0,64.0,64.318,107.35,-43.35
0.02,4.0,0.0,probe_all_local,10,64.318,0.0,272.9,64.318,107.35,-43.032
0.02,4.0,0.0,replan_on_failure,10,107.35,7.225,64.0,64.318,107.35,0.0
0.02,4.0,0.25,behavior_tree_fallback,10,64.316,0.0,207.8,64.316,108.925,-44.609
0.02,4.0,0.25,gcs_eager,10,64.316,0.0,272.8,64.316,108.925,-44.609
0.02,4.0,0.25,gcs_lazy,10,64.316,0.0,300.08,64.316,108.925,-44.609
0.02,4.0,0.25,oracle_assignment,10,64.0,0.0,64.0,64.316,108.925,-44.925
0.02,4.0,0.25,probe_all_local,10,64.316,0.0,272.8,64.316,108.925,-44.609
0.02,4.0,0.25,replan_on_failure,10,108.925,6.925,64.0,64.316,108.925,0.0
0.02,4.0,0.5,behavior_tree_fallback,10,64.314,0.0,207.7,64.314,111.975,-47.661
0.02,4.0,0.5,gcs_eager,10,64.314,0.0,272.7,64.314,111.975,-47.661
0.02,4.0,0.5,gcs_lazy,10,64.314,0.0,299.97,64.314,111.975,-47.661
0.02,4.0,0.5,oracle_assignment,10,64.0,0.0,64.0,64.314,111.975,-47.975
0.02,4.0,0.5,probe_all_local,10,64.314,0.0,272.7,64.314,111.975,-47.661
0.02,4.0,0.5,replan_on_failure,10,111.975,6.8625,64.0,64.314,111.975,0.0
0.02,4.0,0.75,behavior_tree_fallback,10,64.32,0.0,208.0,64.32,115.425,-51.105
0.02,4.0,0.75,gcs_eager,10,64.32,0.0,273.0,64.32,115.425,-51.105
0.02,4.0,0.75,gcs_lazy,10,64.32,0.0,300.3,64.32,115.425,-51.105
