family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
D,D_00001,linear_default,111.833333,14.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,replan_on_failure,53.0,3.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,belief_cost_proxy,51.0,3.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,gcs_thresholded,50.146667,3.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,delayed_gcs,53.253333,3.5,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,no_sharing_gcs,32.56,0.0,4351.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00001,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426027
D,D_00002,linear_default,138.166667,18.833333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,replan_on_failure,63.666667,4.833333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,probe_all_local,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,myopic_voi,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,belief_cost_proxy,54.333333,3.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,behavior_tree_fallback,32.64,0.0,104.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,gcs_eager,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,gcs_lazy,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,gcs_thresholded,49.853333,2.833333,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,gcs_robust,33.92,0.0,87.6,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,delayed_gcs,63.866667,4.833333,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,no_sharing_gcs,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,no_dominance_gcs,32.64,0.0,130.55,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00002,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426028
D,D_00003,linear_default,121.5,16.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,replan_on_failure,59.0,4.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,belief_cost_proxy,47.0,2.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,gcs_thresholded,42.293333,1.666667,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
